leaf_node,rule,sample_count,low_count,mid_count,high_count,dominant_risk,dominant_purity
4,血尿酸 <= 426.5000 and 血尿酸 <= 173.0000 and ADL总分 > 26.5000,53,1,44,8,中风险,0.830188679
7,血尿酸 <= 426.5000 and 血尿酸 > 173.0000 and 血尿酸 > 363.5000,109,39,66,4,中风险,0.605504587
3,血尿酸 <= 426.5000 and 血尿酸 <= 173.0000 and ADL总分 <= 26.5000,73,4,43,26,中风险,0.589041096
6,血尿酸 <= 426.5000 and 血尿酸 > 173.0000 and 血尿酸 <= 363.5000,228,207,21,0,低风险,0.907894737
11,血尿酸 > 426.5000 and 血尿酸 > 443.5000 and ADL总分 <= 25.5000,109,0,6,103,高风险,0.944954128
12,血尿酸 > 426.5000 and 血尿酸 > 443.5000 and ADL总分 > 25.5000,88,0,15,73,高风险,0.829545455
9,血尿酸 > 426.5000 and 血尿酸 <= 443.5000,40,0,10,30,高风险,0.75
