leaf_node,rule,sample_count,low_count,mid_count,high_count,dominant_risk,dominant_purity
2,TC（总胆固醇） <= 6.1527 and TG（甘油三酯） <= 1.6965,145,145,0,0,低风险,1.0
10,TC（总胆固醇） > 6.1527 and TC（总胆固醇） > 6.3655 and TG（甘油三酯） > 0.7222,272,0,1,271,高风险,0.9963235294117647
5,TC（总胆固醇） <= 6.1527 and TG（甘油三酯） > 1.6965 and TG（甘油三酯） > 2.2803,138,0,2,136,高风险,0.9855072463768116
9,TC（总胆固醇） > 6.1527 and TC（总胆固醇） > 6.3655 and TG（甘油三酯） <= 0.7222,35,0,2,33,高风险,0.9428571428571428
7,TC（总胆固醇） > 6.1527 and TC（总胆固醇） <= 6.3655,35,0,4,31,高风险,0.8857142857142857
4,TC（总胆固醇） <= 6.1527 and TG（甘油三酯） > 1.6965 and TG（甘油三酯） <= 2.2803,75,0,12,63,高风险,0.84
