mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__class_weight,param_rf__max_depth,param_rf__max_features,param_rf__min_samples_leaf,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.930887365341187,0.10903251895696177,0.16554841995239258,0.01618970514710145,balanced_subsample,10,0.5,5,5,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 800}",0.9173656415035726,0.9130164647406026,0.8713886300093197,0.9161230195712954,0.9015222118670395,0.903883193538366,0.01718416294557318,1
4.895133543014526,0.1573697977661132,0.15617599487304687,0.013760256410665635,balanced_subsample,10,0.5,5,10,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 800}",0.9173656415035726,0.9130164647406026,0.8713886300093197,0.9161230195712954,0.9015222118670395,0.903883193538366,0.01718416294557318,1
4.701411342620849,0.07229235927253778,0.1614449977874756,0.014436139786460767,balanced_subsample,10,0.5,5,2,800,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 800}",0.9173656415035726,0.9130164647406026,0.8713886300093197,0.9161230195712954,0.9015222118670395,0.903883193538366,0.01718416294557318,1
3.1023533821105955,0.07060764438001622,0.11057233810424805,0.007912475017754472,balanced_subsample,10,0.5,5,5,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 500}",0.9201615408511962,0.9130164647406026,0.8698353525939733,0.9145697421559491,0.9015222118670395,0.9038210624417522,0.018041141657377843,4
3.0677490234375,0.09216866743558083,0.10830817222595215,0.005621699990932034,balanced_subsample,10,0.5,5,10,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 500}",0.9201615408511962,0.9130164647406026,0.8698353525939733,0.9145697421559491,0.9015222118670395,0.9038210624417522,0.018041141657377843,4
2.9185041427612304,0.05038410671584076,0.11836862564086914,0.014933317259709294,balanced_subsample,10,0.5,5,2,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",0.9201615408511962,0.9130164647406026,0.8698353525939733,0.9145697421559491,0.9015222118670395,0.9038210624417522,0.018041141657377843,4
1.7437519550323486,0.03016213108644298,0.08312983512878418,0.0046246127206566135,balanced_subsample,10,0.5,5,5,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 5, 'rf__n_estimators': 300}",0.9120844982913949,0.9151910531220876,0.869524697110904,0.9142590866728798,0.907735321528425,0.9037589313451383,0.017309281947558992,7
1.881393051147461,0.06748521915145737,0.08582863807678223,0.018405064606818854,balanced_subsample,10,0.5,5,10,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 10, 'rf__n_estimators': 300}",0.9120844982913949,0.9151910531220876,0.869524697110904,0.9142590866728798,0.907735321528425,0.9037589313451383,0.017309281947558992,7
1.7367846012115478,0.047836755360767154,0.0723452091217041,0.005134756216750185,balanced_subsample,10,0.5,5,2,300,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 10, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 300}",0.9120844982913949,0.9151910531220876,0.869524697110904,0.9142590866728798,0.907735321528425,0.9037589313451383,0.017309281947558992,7
2.937515115737915,0.02631011046796327,0.11024966239929199,0.007518258633641364,balanced_subsample,14,0.5,2,2,500,"{'rf__class_weight': 'balanced_subsample', 'rf__max_depth': 14, 'rf__max_features': 0.5, 'rf__min_samples_leaf': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 500}",0.9220254737496116,0.9214041627834731,0.8654861758310033,0.9139484311898105,0.8940664802733769,0.9033861447654552,0.021479754394613918,10
